subject_ID,p_duration,p_country,p_languages,p_age,p_gender,p_race,p_parent,p_inj_experienced,condition,rating,injury,character,race,age,gender,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,david,w,a,m,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,paper cut,kyle,w,c,m,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,skinned knees,marissa,b,a,f,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,bruised leg,jessica,b,c,f,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,1,splinter,chris,b,a,m,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,5,bee sting,tyler,b,c,m,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,5,soup,dominic,b,c,m,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,6,broken arm,jacob,b,a,m,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,kendall,b,c,f,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,paper cut,sarah,b,a,f,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,5,skinned knees,wyatt,w,c,m,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,1,bruised leg,robert,w,a,m,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,splinter,tara,w,c,f,,,,,,,,,
5a,502,UK,no,41,female,white,"yes, a biological parent","stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,bee sting,charlotte,w,a,f,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,2,soup,rachel,w,a,f,,,,,,,,,
