subject_ID,cp_age,cp_sex,cp_race,cp_inj_experienced,condition,rating,injury,character,race,age,sex
4.5.1,4,,,,5,0,control_sleep,ctrl_anthony,ctrl_b,ctrl_c,ctrl_m
4.5.1,4,,,,5,3,control_grass,ctrl_courtney,ctrl_w,ctrl_c,ctrl_f
4.5.1,4,,,,5,0,control_book,ctrl_mia,ctrl_b,ctrl_a,ctrl_f
4.6.1,4,,,,6,5,bruised leg,rachel,w,a,f
4.6.1,4,,,,6,1,skinned knees,sydney,w,c,f
4.6.1,4,,,,6,2,soup,david,w,a,m
4.6.1,4,,,,6,7,stomach ache,kyle,w,c,m
4.6.1,4,,,,6,7,broken arm,marissa,b,a,f
4.6.1,4,,,,6,7,paper cut,jessica,b,c,f
4.6.1,4,,,,6,4,bee sting,chris,b,a,m
4.6.1,4,,,,6,7,splinter,tyler,b,c,m
4.6.1,4,,,,6,0,control_draw,ctrl_adam,ctrl_w,ctrl_a,ctrl_m
4.6.1,4,,,,6,0,control_sleep,ctrl_anthony,ctrl_b,ctrl_c,ctrl_m
4.6.1,4,,,,6,0,control_grass,ctrl_courtney,ctrl_w,ctrl_c,ctrl_f
4.6.1,4,,,,6,0,control_book,ctrl_mia,ctrl_b,ctrl_a,ctrl_f
5.1.1,5,,,,1,1,soup,rachel,w,a,f
5.1.1,5,,,,1,7,broken arm,sydney,w,c,f
5.1.1,5,,,,1,7,stomach ache,david,w,a,m
5.1.1,5,,,,1,0,paper cut,kyle,w,c,m
5.1.1,5,,,,1,4,skinned knees,marissa,b,a,f
5.1.1,5,,,,1,1,bruised leg,jessica,b,c,f
5.1.1,5,,,,1,5,splinter,chris,b,a,m
5.1.1,5,,,,1,6,bee sting,tyler,b,c,m
5.1.1,5,,,,1,0,control_draw,ctrl_adam,ctrl_w,ctrl_a,ctrl_m
5.1.1,5,,,,1,0,control_sleep,ctrl_anthony,ctrl_b,ctrl_c,ctrl_m
5.1.1,5,,,,1,0,control_grass,ctrl_courtney,ctrl_w,ctrl_c,ctrl_f
4.1.2,5,,,,1,0,control_book,ctrl_mia,ctrl_b,ctrl_a,ctrl_f
4.1.2,4,,,,1,7,soup,rachel,w,a,f
4.1.2,4,,,,1,7,broken arm,sydney,w,c,f
4.1.2,4,,,,1,6,stomach ache,david,w,a,m
4.1.2,4,,,,1,7,paper cut,kyle,w,c,m
4.1.2,4,,,,1,6,skinned knees,marissa,b,a,f
4.1.2,4,,,,1,7,bruised leg,jessica,b,c,f
4.1.2,4,,,,1,0,splinter,chris,b,a,m
4.1.2,4,,,,1,7,bee sting,tyler,b,c,m
4.1.2,4,,,,1,0,control_draw,ctrl_adam,ctrl_w,ctrl_a,ctrl_m
4.1.2,4,,,,1,0,control_sleep,ctrl_anthony,ctrl_b,ctrl_c,ctrl_m
